Country;Total Deaths;Total Cases;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;;
Afghanistan;7365;145719;825047;40246076;2,523;0,038;7,695;0,463;52,493;0,382;-0,102;0,924;2,430;0,370;0,000;0,126;0,000;0,122;0,010;1,895;;
Albania;3222;201397;1487339;2873066;5,117;0,059;9,520;0,697;68,999;0,785;-0,030;0,901;2,430;1,008;0,529;0,646;0,491;0,168;0,024;2,250;;
Algeria;6298;150829;230861;45041730;4,887;0,053;9,342;0,802;66,005;0,480;-0,067;0,752;2,430;0,946;0,765;0,552;0,119;0,144;0,120;2,242;;
Argentina;117245;5354411;28321149;45819879;5,929;0,056;9,962;0,898;69,000;0,828;-0,182;0,834;2,430;1,162;0,980;0,646;0,544;0,069;0,067;2,461;;
Armenia;7986;332201;2581573;2971581;5,283;0,058;9,487;0,799;67,055;0,825;-0,168;0,629;2,430;0,996;0,758;0,585;0,540;0,079;0,198;2,127;;
Australia;227;279187;55839295;25945038;7,183;0,041;10,796;0,940;73,900;0,914;0,159;0,442;2,430;1,453;1,076;0,801;0,647;0,291;0,317;2,598;;
Austria;13784;1242779;124636283;9083748;7,268;0,036;10,906;0,934;73,300;0,908;0,042;0,481;2,430;1,492;1,062;0,782;0,640;0,215;0,292;2,784;;
Azerbaijan;8383;601645;5883101;10276706;5,171;0,040;9,569;0,836;65,656;0,814;-0,223;0,506;2,430;1,025;0,841;0,541;0,526;0,043;0,276;1,919;;
Bahrain;1395;277899;8093554;1790368;6,647;0,068;10,669;0,862;69,495;0,925;0,089;0,722;2,430;1,409;0,899;0,662;0,661;0,246;0,139;2,631;;
Bangladesh;28087;1549956;11565650;167158346;5,025;0,046;8,454;0,693;64,800;0,877;-0,041;0,682;2,430;0,635;0,520;0,514;0,603;0,161;0,164;2,427;;
Belarus;5638;695651;11086729;9444643;5,534;0,047;9,853;0,910;66,253;0,650;-0,180;0,627;2,430;1,124;1,007;0,560;0,326;0,070;0,199;2,247;;
Belgium;28385;1799136;27441680;11665549;6,834;0,034;10,823;0,906;72,199;0,783;-0,153;0,646;2,430;1,463;0,998;0,747;0,489;0,088;0,187;2,862;;
Benin;161;24705;60431;12600301;5,045;0,073;8,087;0,489;54,713;0,757;-0,034;0,661;2,430;0,507;0,058;0,196;0,457;0,166;0,178;3,482;;
Bolivia;19763;534377;2633963;11912552;5,716;0,053;9,046;0,810;63,901;0,875;-0,077;0,839;2,430;0,842;0,782;0,486;0,600;0,138;0,064;2,805;;
Bosnia and Herzegovina;13442;192218;1483234;3250088;5,813;0,050;9,590;0,870;68,098;0,706;0,113;0,931;2,430;1,032;0,919;0,618;0,395;0,261;0,005;2,583;;
Botswana;2452;205004;2026898;2423011;3,467;0,074;9,782;0,784;59,269;0,824;-0,246;0,801;2,430;1,099;0,724;0,340;0,539;0,027;0,088;0,648;;
Brazil;619245;21567845;63776166;214833521;6,330;0,043;9,577;0,882;66,601;0,804;-0,071;0,756;2,430;1,028;0,944;0,571;0,514;0,142;0,117;3,015;;
Bulgaria;3108;613666;7488039;6869675;5,266;0,054;10,016;0,931;67,000;0,788;-0,096;0,932;2,430;1,181;1,055;0,583;0,494;0,125;0,005;1,823;;
Burkina Faso;318;16619;239193;21764378;4,834;0,081;7,678;0,672;54,151;0,695;-0,009;0,748;2,430;0,364;0,472;0,179;0,381;0,182;0,122;3,133;;
Burundi;38;773;345742;12422693;3,775;0,107;6,635;0,490;53,400;0,626;-0,024;0,607;2,430;0,000;0,062;0,155;0,298;0,172;0,212;2,876;;
Cambodia;3015;116963;2769862;17067031;4,830;0,067;8,360;0,765;62,000;0,959;0,034;0,843;2,430;0,603;0,680;0,426;0,702;0,210;0,061;2,148;;
Cameroon;1851;10605;1751774;27538820;5,142;0,074;8,189;0,710;53,515;0,731;0,026;0,848;2,430;0,543;0,556;0,159;0,425;0,205;0,058;3,195;;
Canada;30393;1942780;52560743;38240150;7,103;0,042;10,776;0,926;73,800;0,915;0,089;0,415;2,430;1,447;1,044;0,798;0,648;0,246;0,335;2,585;;
Chad;184;4874;188872;17133874;4,355;0,094;7,364;0,619;48,478;0,579;0,041;0,807;2,430;0,255;0,353;0,000;0,240;0,215;0,084;3,209;;
Chile;39174;1733374;27537076;19363146;6,172;0,046;10,071;0,882;70,000;0,742;-0,044;0,830;2,430;1,200;0,946;0,678;0,438;0,159;0,070;2,682;;
China;4636;94949;160000000;1439323776;5,339;0,029;9,673;0,811;69,593;0,904;-0,146;0,755;2,430;1,061;0,785;0,665;0,636;0,093;0,117;1,982;;
Colombia;130061;4983053;29813056;51698947;6,012;0,061;9,557;0,847;68,001;0,837;-0,135;0,841;2,430;1,021;0,866;0,615;0,554;0,100;0,063;2,794;;
Comoros;158;5072;;897447;4,289;0,084;8,031;0,626;57,349;0,548;0,082;0,781;2,430;0,488;0,367;0,279;0,202;0,241;0,101;2,610;;
Congo;369;18825;316273;5722191;5,342;0,097;8,117;0,636;58,221;0,695;-0,068;0,745;2,430;0,518;0,392;0,307;0,381;0,144;0,124;3,476;;
Costa Rica;7353;560709;2965435;5164120;7,069;0,056;9,880;0,891;71,400;0,934;-0,126;0,809;2,430;1,134;0,966;0,722;0,673;0,105;0,083;3,387;;
Croatia;12699;686311;3793631;4067143;5,882;0,048;10,217;0,924;70,799;0,754;-0,118;0,939;2,430;1,251;1,039;0,703;0,453;0,111;0,000;2,325;;
Cyprus;641;12437;9477138;1220587;6,223;0,049;10,576;0,802;73,898;0,763;-0,015;0,844;2,430;1,377;0,765;0,801;0,464;0,178;0,061;2,578;;
Czech Republic;36326;2358935;47123479;10738891;6,965;0,049;10,556;0,947;70,807;0,858;-0,208;0,868;2,430;1,370;1,090;0,703;0,580;0,052;0,046;3,124;;
Denmark;3307;637121;108234124;5822908;7,620;0,035;10,933;0,954;72,700;0,946;0,030;0,179;2,430;1,502;1,108;0,763;0,686;0,208;0,485;2,868;;
Dominican Republic;4251;409559;2591285;11011603;5,545;0,071;9,802;0,853;66,102;0,860;-0,133;0,714;2,430;1,106;0,879;0,555;0,581;0,101;0,144;2,178;;
Ecuador;33686;44388;2171252;18046016;5,764;0,057;9,313;0,821;68,800;0,842;-0,124;0,843;2,430;0,935;0,806;0,640;0,560;0,107;0,062;2,653;;
Egypt;21817;32218;3693367;105236507;4,283;0,045;9,367;0,750;61,998;0,749;-0,182;0,795;2,430;0,954;0,647;0,426;0,446;0,069;0,092;1,648;;
El Salvador;3826;113511;1530272;6535469;6,061;0,065;9,054;0,762;66,402;0,888;-0,110;0,688;2,430;0,845;0,675;0,565;0,615;0,116;0,160;3,085;;
Estonia;194;225589;2548253;1327878;6,189;0,038;10,481;0,941;68,800;0,909;-0,106;0,527;2,430;1,344;1,079;0,640;0,641;0,119;0,263;2,103;;
Ethiopia;6969;356997;4137783;119242789;4,275;0,051;7,694;0,764;59,000;0,752;0,082;0,761;2,430;0,370;0,679;0,331;0,451;0,241;0,114;2,089;;
Finland;1599;46;8745480;5553678;7,842;0,032;10,775;0,954;72,000;0,949;-0,098;0,186;2,430;1,446;1,106;0,741;0,691;0,124;0,481;3,253;;
France;124212;8209921;188795159;65490955;6,690;0,037;10,704;0,942;74,000;0,822;-0,147;0,571;2,430;1,421;1,081;0,804;0,536;0,092;0,235;2,521;;
Gabon;290;37932;1493255;2304663;4,852;0,075;9,603;0,776;59,962;0,731;-0,200;0,840;2,430;1,037;0,707;0,362;0,424;0,058;0,064;2,201;;
Gambia;343;97;132861;2518658;5,051;0,089;7,686;0,690;55,160;0,697;0,424;0,746;2,430;0,367;0,511;0,210;0,384;0,465;0,123;2,990;;
