Country;Continent;Total Deaths;Total Cases;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;;
Afghanistan;Asia;7365;145719;825047;40246076;2,523;0,038;7,695;0,463;52,493;0,382;-0,102;0,924;;
Albania;Europe;3222;201397;1487339;2873066;5,117;0,059;9,520;0,697;68,999;0,785;-0,030;0,901;;
Algeria;Africa;6298;150829;230861;45041730;4,887;0,053;9,342;0,802;66,005;0,480;-0,067;0,752;;
Argentina;South America;117245;5354411;28321149;45819879;5,929;0,056;9,962;0,898;69,000;0,828;-0,182;0,834;;
Armenia;Asia;7986;332201;2581573;2971581;5,283;0,058;9,487;0,799;67,055;0,825;-0,168;0,629;;
Australia;Oceania;227;279187;55839295;25945038;7,183;0,041;10,796;0,940;73,900;0,914;0,159;0,442;;
Austria;Europe;13784;1242779;124636283;9083748;7,268;0,036;10,906;0,934;73,300;0,908;0,042;0,481;;
Azerbaijan;Asia;8383;601645;5883101;10276706;5,171;0,040;9,569;0,836;65,656;0,814;-0,223;0,506;;
Bahrain;Asia;1395;277899;8093554;1790368;6,647;0,068;10,669;0,862;69,495;0,925;0,089;0,722;;
Bangladesh;Asia;28087;1549956;11565650;167158346;5,025;0,046;8,454;0,693;64,800;0,877;-0,041;0,682;;
Belarus;Europe;5638;695651;11086729;9444643;5,534;0,047;9,853;0,910;66,253;0,650;-0,180;0,627;;
Belgium;Europe;28385;1799136;27441680;11665549;6,834;0,034;10,823;0,906;72,199;0,783;-0,153;0,646;;
Benin;Africa;161;24705;60431;12600301;5,045;0,073;8,087;0,489;54,713;0,757;-0,034;0,661;;
Bolivia;South America;19763;534377;2633963;11912552;5,716;0,053;9,046;0,810;63,901;0,875;-0,077;0,839;;
Bosnia and Herzegovina;Europe;13442;192218;1483234;3250088;5,813;0,050;9,590;0,870;68,098;0,706;0,113;0,931;;
Botswana;Africa;2452;205004;2026898;2423011;3,467;0,074;9,782;0,784;59,269;0,824;-0,246;0,801;;
Brazil;South America;619245;21567845;63776166;214833521;6,330;0,043;9,577;0,882;66,601;0,804;-0,071;0,756;;
Bulgaria;Europe;3108;613666;7488039;6869675;5,266;0,054;10,016;0,931;67,000;0,788;-0,096;0,932;;
Burkina Faso;Africa;318;16619;239193;21764378;4,834;0,081;7,678;0,672;54,151;0,695;-0,009;0,748;;
