Fecha;Nuevos Casos;Valor Bursatil;;;;;
04/02/2020;0.25;9514.40;;;;;
05/02/2020;0.20;9635.60;;;;;
06/02/2020;0.17;9789.20;;;;;
07/02/2020;0.14;9800.15;;;;;
10/02/2020;0.14;9803.30;;;;;
11/02/2020;0.14;9873.00;;;;;
12/02/2020;0.14;9919.15;;;;;
13/02/2020;0.14;9901.85;;;;;
14/02/2020;0.14;9933.85;;;;;
17/02/2020;0.00;10000.70;;;;;
18/02/2020;0.00;9991.60;;;;;
19/02/2020;0.00;10062.80;;;;;
20/02/2020;0.00;9989.85;;;;;
21/02/2020;0.00;9889.60;;;;;
24/02/2020;0.00;9566.65;;;;;
25/02/2020;0.57;9378.90;;;;;
26/02/2020;1.57;9264.90;;;;;
27/02/2020;1.86;9084.05;;;;;
28/02/2020;4.29;8735.65;;;;;
02/03/2020;16.86;8825.85;;;;;
03/03/2020;22.71;8835.90;;;;;
04/03/2020;29.86;8868.90;;;;;
05/03/2020;34.86;8821.90;;;;;
06/03/2020;52.57;8454.10;;;;;
09/03/2020;136.14;7796.35;;;;;
10/03/2020;218.57;7638.55;;;;;
11/03/2020;293.57;7512.85;;;;;
12/03/2020;288.29;6715.85;;;;;
13/03/2020;690.29;6696.65;;;;;
16/03/2020;1267.00;6219.10;;;;;
17/03/2020;1436.14;6471.50;;;;;
18/03/2020;1661.86;6322.65;;;;;
19/03/2020;2240.86;6382.00;;;;;
20/03/2020;2168.29;6544.35;;;;;
23/03/2020;3599.14;6226.95;;;;;
24/03/2020;4019.57;6575.30;;;;;
25/03/2020;5086.43;6964.15;;;;;
26/03/2020;5689.00;6911.10;;;;;
27/03/2020;6472.71;6847.30;;;;;
30/03/2020;7545.71;6704.25;;;;;
31/03/2020;8005.43;6766.10;;;;;
01/04/2020;7800.43;6603.35;;;;;
02/04/2020;7754.14;6603.90;;;;;
03/04/2020;7640.00;6572.60;;;;;
06/04/2020;6959.86;6826.10;;;;;
07/04/2020;6574.14;6994.45;;;;;
08/04/2020;6300.29;6941.00;;;;;
09/04/2020;5879.57;7059.95;;;;;
14/04/2020;4371.29;7159.15;;;;;
15/04/2020;4203.43;6952.55;;;;;
16/04/2020;4532.29;6847.10;;;;;
17/04/2020;4652.29;6909.15;;;;;
20/04/2020;4301.57;6882.00;;;;;
21/04/2020;4519.57;6688.10;;;;;
22/04/2020;4392.14;6702.45;;;;;
23/04/2020;4010.86;6752.60;;;;;
24/04/2020;1735.86;6627.60;;;;;
27/04/2020;1322.14;6756.35;;;;;
28/04/2020;942.14;6780.50;;;;;
29/04/2020;646.86;6942.55;;;;;
30/04/2020;58.71;7003.55;;;;;
04/05/2020;1220.86;6720.50;;;;;
05/05/2020;1222.29;6759.95;;;;;
06/05/2020;1058.29;6695.75;;;;;
07/05/2020;1144.57;6722.90;;;;;
08/05/2020;1091.57;6786.90;;;;;
11/05/2020;1346.43;6751.55;;;;;
12/05/2020;1243.00;6717.70;;;;;
13/05/2020;1195.14;6662.70;;;;;
14/05/2020;1156.14;6557.65;;;;;
15/05/2020;1046.57;6534.65;;;;;
18/05/2020;595.71;6681.20;;;;;
19/05/2020;572.43;6736.65;;;;;
20/05/2020;552.00;6638.50;;;;;
21/05/2020;499.57;6649.40;;;;;
22/05/2020;663.00;6657.85;;;;;
25/05/2020;542.00;6811.70;;;;;
26/05/2020;603.14;6972.25;;;;;
27/05/2020;529.14;7104.25;;;;;
28/05/2020;695.57;7230.70;;;;;
29/05/2020;534.29;7130.40;;;;;
01/06/2020;605.43;7225.05;;;;;
02/06/2020;524.71;7336.05;;;;;
03/06/2020;581.00;7556.85;;;;;
04/06/2020;393.43;7567.25;;;;;
05/06/2020;344.86;7772.30;;;;;
08/06/2020;297.00;7854.60;;;;;
09/06/2020;290.57;7815.25;;;;;
10/06/2020;279.14;7721.85;;;;;
11/06/2020;292.43;7382.25;;;;;
12/06/2020;318.71;7262.45;;;;;
15/06/2020;341.71;7188.10;;;;;
16/06/2020;337.43;7458.05;;;;;
17/06/2020;343.29;7468.40;;;;;
18/06/2020;365.86;7413.30;;;;;
19/06/2020;338.00;7429.20;;;;;
22/06/2020;342.14;7358.65;;;;;
23/06/2020;346.29;7423.60;;;;;
24/06/2020;343.29;7299.70;;;;;
25/06/2020;316.86;7223.35;;;;;
26/06/2020;332.86;7251.45;;;;;
29/06/2020;352.29;7219.10;;;;;
30/06/2020;359.86;7251.00;;;;;
01/07/2020;367.57;7236.50;;;;;
02/07/2020;373.86;7395.65;;;;;
03/07/2020;377.14;7456.90;;;;;
06/07/2020;402.71;7561.35;;;;;
07/07/2020;408.43;7469.45;;;;;
08/07/2020;407.71;7343.70;;;;;
09/07/2020;421.86;7303.40;;;;;
10/07/2020;480.43;7259.75;;;;;
13/07/2020;594.86;7415.05;;;;;
14/07/2020;641.29;7348.20;;;;;
15/07/2020;711.57;7451.85;;;;;
16/07/2020;828.43;7456.75;;;;;
17/07/2020;906.71;7457.25;;;;;
20/07/2020;1269.00;7460.25;;;;;
21/07/2020;1367.86;7524.35;;;;;
22/07/2020;1436.71;7432.40;;;;;
23/07/2020;1615.86;7409.80;;;;;
24/07/2020;1738.00;7298.25;;;;;
27/07/2020;1992.29;7219.20;;;;;
28/07/2020;2059.43;7219.15;;;;;
29/07/2020;2155.71;7226.90;;;;;
30/07/2020;2180.57;7094.45;;;;;
31/07/2020;2300.14;6951.30;;;;;
03/08/2020;2610.29;6921.20;;;;;
04/08/2020;3172.00;7012.30;;;;;
05/08/2020;3303.71;7056.45;;;;;
06/08/2020;3489.29;6990.00;;;;;
07/08/2020;3691.43;6939.80;;;;;
10/08/2020;3703.71;7029.15;;;;;
11/08/2020;3399.71;7183.75;;;;;
12/08/2020;3431.00;7273.15;;;;;
13/08/2020;3925.57;7259.20;;;;;
14/08/2020;4064.43;7189.20;;;;;
17/08/2020;5157.43;7115.80;;;;;
18/08/2020;5369.14;7054.60;;;;;
19/08/2020;5869.00;7066.70;;;;;
20/08/2020;5796.00;7002.35;;;;;
21/08/2020;6177.29;6999.40;;;;;
24/08/2020;6622.00;7076.65;;;;;
25/08/2020;6908.14;7128.15;;;;;
26/08/2020;6997.43;7105.70;;;;;
27/08/2020;7371.57;7102.40;;;;;
28/08/2020;7604.57;7123.85;;;;;
31/08/2020;8203.14;7071.90;;;;;
01/09/2020;8345.71;6997.70;;;;;
02/09/2020;8529.29;6985.00;;;;;
03/09/2020;8429.43;7035.60;;;;;
04/09/2020;8529.00;7002.70;;;;;
07/09/2020;8955.86;7056.75;;;;;
08/09/2020;9077.14;7021.45;;;;;
09/09/2020;9117.86;6983.65;;;;;
10/09/2020;9375.71;7009.90;;;;;
11/09/2020;9619.57;6966.30;;;;;
14/09/2020;9740.14;6970.45;;;;;
15/09/2020;9807.71;6997.45;;;;;
16/09/2020;10140.14;7079.55;;;;;
17/09/2020;10215.43;7056.65;;;;;
18/09/2020;10530.57;7001.80;;;;;
21/09/2020;11105.43;6792.60;;;;;
22/09/2020;11300.00;6700.75;;;;;
23/09/2020;11313.71;6686.00;;;;;
24/09/2020;11222.57;6610.50;;;;;
25/09/2020;10920.14;6637.85;;;;;
28/09/2020;10971.14;6750.35;;;;;
29/09/2020;9428.43;6741.55;;;;;
30/09/2020;10804.57;6690.10;;;;;
01/10/2020;10628.29;6759.90;;;;;
02/10/2020;10493.00;6714.95;;;;;
05/10/2020;9306.57;6826.20;;;;;
06/10/2020;11020.57;6898.15;;;;;
07/10/2020;9530.43;6915.15;;;;;
08/10/2020;9959.57;6973.00;;;;;
09/10/2020;10168.57;6971.90;;;;;
12/10/2020;10793.71;6959.90;;;;;
13/10/2020;10096.57;6910.20;;;;;
14/10/2020;10307.86;6898.50;;;;;
15/10/2020;10435.71;6828.50;;;;;
16/10/2020;10778.29;6850.80;;;;;
19/10/2020;12211.57;6871.15;;;;;
20/10/2020;13176.57;6881.05;;;;;
21/10/2020;13891.29;6886.50;;;;;
22/10/2020;14986.71;6785.90;;;;;
23/10/2020;15653.14;6847.75;;;;;
26/10/2020;17695.86;6797.40;;;;;
27/10/2020;18345.14;6748.25;;;;;
28/10/2020;18744.00;6517.60;;;;;
29/10/2020;19114.57;6439.75;;;;;
30/10/2020;19935.14;6401.80;;;;;
02/11/2020;20339.57;6533.50;;;;;
03/11/2020;20375.43;6693.85;;;;;
04/11/2020;21129.29;6699.30;;;;;
05/11/2020;20890.43;6878.85;;;;;
