Country;Total Cases;Total Deaths;Total Tests;Population
USA;57,131,187;848,885;817,668,437;333,924,197
India;34,960,261;482,017;682,428,595;1,400,420,753
Brazil;22,305,078;619,245;63,776,166;214,833,521
UK;13,422,815;148,893;404,382,130;68,422,788
Russia;10,570,212;312,187;241,700,000;146,028,675
France;10,317,819;124,212;188,795,159;65,490,955
Turkey;9,597,670;82,795;119,794,419;85,704,606
Germany;7,246,346;113,191;89,622,218;84,187,242
Spain;6,667,511;89,573;66,213,858;46,782,044
Italy;6,396,110;137,786;141,992,517;60,327,961
Iran;6,200,296;131,736;42,281,617;85,610,313
Argentina;5,739,326;117,245;28,321,149;45,819,879
Colombia;5,191,021;130,061;29,813,056;51,698,947
Indonesia;4,263,732;144,105;64,158,227;277,875,710
Poland;4,145,518;98,034;27,487,093;37,784,199
Mexico;3,993,464;299,581;12,425,179;130,971,060
Ukraine;3,678,088;96,436;16,835,647;43,338,099
South Africa;3,475,512;91,312;21,304,188;60,433,670
Netherlands;3,198,835;20,99;21,107,399;17,191,949
Philippines;2,861,119;51,604;25,372,205;111,775,185
Malaysia;2,767,044;31,56;41,440,452;32,989,862
Czechia;2,493,145;36,326;47,123,479;10,738,891
Peru;2,304,674;202,818;21,881,553;33,662,773
Canada;2,302,695;30,393;52,560,743;38,240,150
Thailand;2,235,576;21,75;17,270,775;70,063,653
Belgium;2,133,284;28,385;27,441,680;11,665,549
Iraq;2,094,667;24,182;16,865,438;41,579,139
Romania;1,816,956;58,866;17,222,335;19,044,433
Chile;1,812,348;39,174;27,537,076;19,363,146
Vietnam;1,778,976;33,021;75,170,635;98,656,568
Japan;1,735,591;18,396;29,405,470;125,893,458
Bangladesh;1,587,915;28,087;11,565,650;167,158,346
Portugal;1,460,406;19,015;27,237,600;10,151,941
Israel;1,408,869;8,247;39,492,099;9,326,000
Switzerland;1,385,365;12,359;14,490,481;8,749,879
Sweden;1,357,753;15,286;15,268,363;10,194,049
Serbia;1,310,845;12,806;7,297,175;8,684,375
Pakistan;1,297,865;28,945;23,558,972;227,341,074
Greece;1,294,741;20,99;47,975,626;10,346,388
Austria;1,294,325;13,784;124,636,283;9,083,748
Hungary;1,264,709;39,517;9,211,426;9,623,416
Jordan;1,067,253;12,742;13,637,305;10,355,554
Kazakhstan;989,556;13,025;11,575,012;19,114,618
Morocco;971,961;14,867;10,908,444;37,568,791
Cuba;967,498;8,324;11,731,194;11,316,207
Georgia;942,173;14,009;13,013,392;3,977,637
Slovakia;849,516;16,788;5,130,450;5,463,624
Denmark;846,398;3,307;108,234,124;5,822,908
Ireland;845,897;5,912;9,975,030;5,020,776
Nepal;829,632;11,601;4,887,818;29,924,836
UAE;772,189;2,17;113,013,841;10,070,188
Bulgaria;751,458;31,08;7,488,039;6,869,675
Lebanon;735,727;9,174;4,795,578;6,779,419
Tunisia;728,802;25,588;3,396,130;12,004,701
Croatia;727,899;12,699;3,793,631;4,067,143
Belarus;702,374;5,638;11,086,729;9,444,643
S. Korea;645,226;5,781;15,804,065;51,335,615
Guatemala;628,804;16,11;3,283,166;18,413,884
Bolivia;622,312;19,763;2,633,963;11,912,552
Azerbaijan;617,952;8,383;5,883,101;10,276,706
Sri Lanka;588,3;15,037;5,726,599;21,548,402
Costa Rica;570,556;7,353;2,965,435;5,164,120
Saudi Arabia;562,437;8,883;33,623,374;35,629,333
Ecuador;553,201;33,686;2,171,252;18,046,016
Australia;547,16;2,27;55,839,295;25,945,038
Myanmar;531,155;19,277;6,065,490;54,958,794
Lithuania;526,443;7,462;6,652,931;2,665,080
Panama;500,148;7,44;4,541,240;4,416,924
Slovenia;470,96;5,623;2,093,238;2,079,368
Paraguay;469,523;16,642;2,050,098;7,264,351
Venezuela;445,082;5,335;3,359,014;28,314,621
Palestine;440,282;4,678;2,866,266;5,279,645
Ethiopia;428,796;6,969;4,137,783;119,242,789
Dominican Republic;424,809;4,251;2,591,285;11,011,603
Kuwait;419,314;2,468;6,025,332;4,365,570
Uruguay;416,97;6,177;4,446,124;3,491,853
Norway;404,551;1,305;9,341,906;5,485,039
Libya;390,935;5,74;2,047,489;7,011,851
Mongolia;390,502;2,062;4,030,048;3,357,690
Egypt;387,882;21,817;3,693,367;105,236,507
Honduras;379,542;10,434;1,139,978;10,141,533
Moldova;376,844;10,306;2,425,628;4,019,846
Armenia;345,126;7,986;2,581,573;2,971,581
Oman;306,24;4,117;25,000,000;5,301,777
Kenya;302,134;5,401;3,056,954;55,551,636
Bosnia and Herzegovina;291,313;13,442;1,483,234;3,250,088
Bahrain;284,224;1,395;8,093,554;1,790,368
Finland;282,831;1,599;8,745,480;5,553,678
Singapore;280,754;829;21,098,774;5,919,588
Latvia;279,32;4,6;5,630,139;1,854,791
Zambia;265,479;3,762;2,996,026;19,157,388
Qatar;255,231;618;3,197,708;2,807,805
Estonia;244,733;1,94;2,548,253;1,327,878
Nigeria;244,12;3,045;3,823,309;213,817,196
North Macedonia;227,168;7,996;1,619,276;2,083,245
Botswana;222,053;2,452;2,026,898;2,423,011
Algeria;219,532;6,298;230,861;45,041,730
Zimbabwe;216,087;5,047;1,857,129;15,188,375
Albania;211,22;3,222;1,487,339;2,873,066
Uzbekistan;199,271;1,485;1,377,915;34,198,831
Mozambique;193,371;2,031;1,108,800;32,570,890
Kyrgyzstan;184,827;2,805;1,907,195;6,686,076
Cyprus;177,721;641;9,477,138;1,220,587
Montenegro;177,455;2,422;1,000,184;628,186
Afghanistan;158,205;7,365;825,047;40,246,076
Namibia;150,145;3,656;877,016;2,610,098
Ghana;147,203;1,309;2,138,224;32,047,994
Uganda;145,963;3,306;2,166,777;47,910,290
El Salvador;122,063;3,826;1,530,272;6,535,469
Cambodia;120,526;3,015;2,769,862;17,067,031
Rwanda;114,58;1,357;4,051,802;13,434,690
Laos;113,951;403;923,36;7,434,366
Cameroon;109,367;1,851;1,751,774;27,538,820
Luxembourg;105,358;917;3,824,957;641,294
China;102,841;4,636;160,000,000;1,439,323,776
Maldives;96,294;262;1,887,635;554,86
Jamaica;95,946;2,477;712,42;2,980,623
Trinidad and Tobago;92,997;2,936;512,73;1,406,310
Angola;83,764;1,775;1,273,800;34,401,630
Réunion;76,602;409;1,347,378;904,928
