"Country","Continent","Total Deaths","Total Cases","Total Tests","Population","Ladder score","Standard error of ladder score","Logged GDP per capita","Social support","Healthy life expectancy","Freedom to make life choices","Generosity","Perceptions of corruption"
"Afghanistan","Asia","7365","145719","825047","40246076","2.52","0.04","7.70","0.46","52","0.38","-0.10","0.92"
"Albania","Europe","3222","201397","1487339","2873066","5.12","0.06","9.52","0.70","69","0.79","-0.03","0.90"
"Algeria","Africa","6298","150829","230861","45041730","4.89","0.05","9.34","0.80","66","0.48","-0.07","0.75"
"Argentina","South America","117245","5354411","28321149","45819879","5.93","0.06","9.96","0.90","69","0.83","-0.18","0.83"
"Armenia","Asia","7986","332201","2581573","2971581","5.28","0.06","9.49","0.80","67","0.82","-0.17","0.63"
"Australia","Oceania","227","279187","55839295","25945038","7.18","0.04","10.80","0.94","74","0.91","0.16","0.44"
"Austria","Europe","13784","1242779","124636283","9083748","7.27","0.04","10.91","0.93","73","0.91","0.04","0.48"
"Azerbaijan","Asia","8383","601645","5883101","10276706","5.17","0.04","9.57","0.84","66","0.81","-0.22","0.51"
"Bahrain","Asia","1395","277899","8093554","1790368","6.65","0.07","10.67","0.86","69","0.93","0.09","0.72"
"Bangladesh","Asia","28087","1549956","11565650","167158346","5.03","0.05","8.45","0.69","65","0.88","-0.04","0.68"
"Belarus","Europe","5638","695651","11086729","9444643","5.53","0.05","9.85","0.91","66","0.65","-0.18","0.63"
"Belgium","Europe","28385","1799136","27441680","11665549","6.83","0.03","10.82","0.91","72","0.78","-0.15","0.65"
"Benin","Africa","161","24705","60431","12600301","5.04","0.07","8.09","0.49","55","0.76","-0.03","0.66"
"Bolivia","South America","19763","534377","2633963","11912552","5.72","0.05","9.05","0.81","64","0.88","-0.08","0.84"
"Bosnia and Herzegovina","Europe","13442","192218","1483234","3250088","5.81","0.05","9.59","0.87","68","0.71","0.11","0.93"
"Botswana","Africa","2452","205004","2026898","2423011","3.47","0.07","9.78","0.78","59","0.82","-0.25","0.80"
"Brazil","South America","619245","21567845","63776166","214833521","6.33","0.04","9.58","0.88","67","0.80","-0.07","0.76"
"Bulgaria","Europe","3108","613666","7488039","6869675","5.27","0.05","10.02","0.93","67","0.79","-0.10","0.93"
"Burkina Faso","Africa","318","16619","239193","21764378","4.83","0.08","7.68","0.67","54","0.69","-0.01","0.75"
"Burundi","Africa","38","773","345742","12422693","3.77","0.11","6.63","0.49","53","0.63","-0.02","0.61"
"Cambodia","Asia","3015","116963","2769862","17067031","4.83","0.07","8.36","0.77","62","0.96","0.03","0.84"
"Cameroon","Africa","1851","10605","1751774","27538820","5.14","0.07","8.19","0.71","54","0.73","0.03","0.85"
"Canada","North America","30393","1942780","52560743","38240150","7.10","0.04","10.78","0.93","74","0.92","0.09","0.41"
"Chad","Africa","184","4874","188872","17133874","4.36","0.09","7.36","0.62","48","0.58","0.04","0.81"
"Chile","South America","39174","1733374","27537076","19363146","6.17","0.05","10.07","0.88","70","0.74","-0.04","0.83"
"China","Asia","4636","94949","160000000","1439323776","5.34","0.03","9.67","0.81","70","0.90","-0.15","0.76"
