Country;Total Deaths;Total Recovered;Total Tests;Population;Ladder score;Standard error of ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual
Afghanistan;7,365;145,719;825,047;40,246,076;2,523;0,038;7,695;0,463;52,493;0,382;-0,102;0,924;2,43;0,37;0;0,126;0;0,122;0,01;1,895
Albania;3,222;201,397;1,487,339;2,873,066;5,117;0,059;9,52;0,697;68,999;0,785;-0,03;0,901;2,43;1,008;0,529;0,646;0,491;0,168;0,024;2,25
Algeria;6,298;150,829;230,861;45,041,730;4,887;0,053;9,342;0,802;66,005;0,48;-0,067;0,752;2,43;0,946;0,765;0,552;0,119;0,144;0,12;2,242
Argentina;117,245;5,354,411;28,321,149;45,819,879;5,929;0,056;9,962;0,898;69;0,828;-0,182;0,834;2,43;1,162;0,98;0,646;0,544;0,069;0,067;2,461
Armenia;7,986;332,201;2,581,573;2,971,581;5,283;0,058;9,487;0,799;67,055;0,825;-0,168;0,629;2,43;0,996;0,758;0,585;0,54;0,079;0,198;2,127
Australia;2,27;279,187;55,839,295;25,945,038;7,183;0,041;10,796;0,94;73,9;0,914;0,159;0,442;2,43;1,453;1,076;0,801;0,647;0,291;0,317;2,598
Austria;13,784;1,242,779;124,636,283;9,083,748;7,268;0,036;10,906;0,934;73,3;0,908;0,042;0,481;2,43;1,492;1,062;0,782;0,64;0,215;0,292;2,784
Azerbaijan;8,383;601,645;5,883,101;10,276,706;5,171;0,04;9,569;0,836;65,656;0,814;-0,223;0,506;2,43;1,025;0,841;0,541;0,526;0,043;0,276;1,919
Bahrain;1,395;277,899;8,093,554;1,790,368;6,647;0,068;10,669;0,862;69,495;0,925;0,089;0,722;2,43;1,409;0,899;0,662;0,661;0,246;0,139;2,631
Bangladesh;28,087;1,549,956;11,565,650;167,158,346;5,025;0,046;8,454;0,693;64,8;0,877;-0,041;0,682;2,43;0,635;0,52;0,514;0,603;0,161;0,164;2,427
