dateRep;year;month;day;cases;deaths;countriesAndTerritories;geoId;popData2020;countryterritoryCode;continentExp
04/01/2022;2022;01;04;3221;13;Austria;AT;8901064;AUT;Europe
03/01/2022;2022;01;03;32360;198;Austria;AT;8901064;AUT;Europe
22/12/2021;2021;12;22;1913;40;Austria;AT;8901064;AUT;Europe
21/12/2021;2021;12;21;1863;20;Austria;AT;8901064;AUT;Europe
20/12/2021;2021;12;20;2131;13;Austria;AT;8901064;AUT;Europe
19/12/2021;2021;12;19;2378;17;Austria;AT;8901064;AUT;Europe
18/12/2021;2021;12;18;2577;51;Austria;AT;8901064;AUT;Europe
17/12/2021;2021;12;17;2847;35;Austria;AT;8901064;AUT;Europe
16/12/2021;2021;12;16;3424;54;Austria;AT;8901064;AUT;Europe
15/12/2021;2021;12;15;3314;59;Austria;AT;8901064;AUT;Europe
14/12/2021;2021;12;14;2829;28;Austria;AT;8901064;AUT;Europe
13/12/2021;2021;12;13;3591;19;Austria;AT;8901064;AUT;Europe
12/12/2021;2021;12;12;4909;53;Austria;AT;8901064;AUT;Europe
11/12/2021;2021;12;11;2512;110;Austria;AT;8901064;AUT;Europe
10/12/2021;2021;12;10;4223;17;Austria;AT;8901064;AUT;Europe
09/12/2021;2021;12;09;6208;47;Austria;AT;8901064;AUT;Europe
08/12/2021;2021;12;08;3879;67;Austria;AT;8901064;AUT;Europe
07/12/2021;2021;12;07;4645;69;Austria;AT;8901064;AUT;Europe
06/12/2021;2021;12;06;5314;59;Austria;AT;8901064;AUT;Europe
05/12/2021;2021;12;05;6962;85;Austria;AT;8901064;AUT;Europe
04/12/2021;2021;12;04;6486;89;Austria;AT;8901064;AUT;Europe
03/12/2021;2021;12;03;8506;76;Austria;AT;8901064;AUT;Europe
02/12/2021;2021;12;02;11050;56;Austria;AT;8901064;AUT;Europe
01/12/2021;2021;12;01;8219;77;Austria;AT;8901064;AUT;Europe
30/11/2021;2021;11;30;7787;36;Austria;AT;8901064;AUT;Europe
29/11/2021;2021;11;29;9732;43;Austria;AT;8901064;AUT;Europe
28/11/2021;2021;11;28;12249;39;Austria;AT;8901064;AUT;Europe
27/11/2021;2021;11;27;12746;44;Austria;AT;8901064;AUT;Europe
